Plant Name,Family,Book,Page start,Page end,1. Flowering 🌼,2. Fruiting 🍊,2A. Dormancy💤,3. Deciduous 🍂,4. Bulbous root 🥔,4A. Rhizomatous 🌾,5. Water Plant 🌊?,5A. Perennial♾️,6. Herb 🌿,7. Shrub🌴,8. Tree🌳,9. Climber🧗‍♀️,10. Creep-ing🐌,11. Succu-lent🌵,11A. Tropical rainforest habitat☔,11B. Insectivorous🦟,11C. Parasitic 🧛,12. Full Sun ☀️,13. Semi-Shade 🌤️,14. Shade ☁️,15. Hot 🔥,16. Warm 🌡️,17. Cold ❄️,18. Wind Tolerant 💨?,18A. Wind Sensitive🛡️,19. Cold-phobia 😨?,20. Salt Tolerant 🧂,21. Drought tolerant🏜️,22. Moist 💧,23. Requring lots of water 🌧️,23A. Moist-phobia🚫,24. Drought-sensitive🥀,25. Thermo-sensitive 🥵,25A. Barren tolerant🗿,25B. Antipollution 🔄,26. Lightly toxic🟡,27. Toxic🟠,28. Heavily toxic 🔴,Count of cell with logo,,,,
Iberis umbellata,Cruciferae,1,14,,5-8,,,,,,,,🌿,,,,,,,,,☀️,,,,,❄️,,,,,,💧,,,,🥵,,,,,,5,,,,
Lobularia maritima,Cruciferae,1,14,,3-6,,,,,,,,🌿,,,,,,,,,☀️,,,,,❄️,,,,,,💧,,,,,,,,,,4,,,,
Matthiola incana,Cruciferae,1,15,,1-4,,,,,,,,🌿,,,,,,,,,☀️,,,,,❄️,,,,,,💧,,,,,,,,,,4,,,,
Orychophragmus violaceus,Cruciferae,1,15,,2-5,4-6,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,,,🏜️,💧,,,,,,,,,,5,,,,
Raphanus sativus var. radiculus pers.,Cruciferae,1,16,,2-4,,,,,,,,🌿,,,,,,,,,☀️,,,,,❄️,,,,,,💧,,,,,,,,,,4,,,,
Raphanus sativus,Cruciferae,1,16,,12-2,,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Houttuynia cordata,Saururaceae,1,17,,4-7,7-10,,,,,,,🌿,,,,🐌,,,,,☀️,,,,🌡️,,,,😨,,,💧,,,,,,,,,,6,,,,
Houttuynia cordata 'Variegata',Saururaceae,1,17,,4-7,7-10,,,,,,,🌿,,,,🐌,,,,,☀️,,,,🌡️,,,,😨,,,💧,,,,,,,,,,6,,,,
Cuphea hyssopifolia,Lythraceae,1,18,,1-12,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,🌡️,,,,😨,,,💧,,,,,,,,,,7,,,,
Saururus chinensis,Saururaceae,1,18,,4-5,6,,,,,,,🌿,,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
Cuphea hyssopifolia 'alba',Lythraceae,1,19,,1-12,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,🌡️,,,,😨,,,💧,,,,,,,,,,7,,,,
Cuphea ignea,Lythraceae,1,19,,1-12,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Cuphea llavea,Lythraceae,1,20,,3-9,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,❄️,,,,,,💧,,,,,,,,,,6,,,,
Lagerstroemia indica,Lythraceae,1,20,,6-9,9-12,,🍂,,,,,,🌴,,,,,,,,,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Lagerstroemia indica 'Alba',Lythraceae,1,20,,6-9,9-11,,🍂,,,,,,🌴,,,,,,,,,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Lagerstroemia indica cultivarietas,Lythraceae,1,20,,6-9,9-11,,🍂,,,,,,🌴,,,,,,,,,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Lagerstroemia loudonii,Lythraceae,1,21,,4-5,,,🍂,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Lagerstroemia speciosa,Lythraceae,1,22,,5-9,10-12,,🍂,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Lawsonia inermis,Lythraceae,1,23,,6-10,,,,,,,,,🌴,🌳,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,7,,,,
Lythrum salicaria,Lythraceae,1,23,,7-11,,,,,,🌊,,🌿,,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,🌧️,,,,,,,,,7,,,,
Pemphis acidula,Lythraceae,1,24,,3-9,4-10,,,,,,,,🌴,,,🐌,🌵,,,,☀️,,,🔥,,,,,,🧂,,💧,🌧️,,,,,,,,,8,,,,
Rotala rotundifolia,Lythraceae,1,24,,,,,,,,🌊,,🌿,,,,,,,,,☀️,,,,🌡️,,,,,,,💧,🌧️,,,,,,,,,6,,,,
Woodfordia fruticosa,Lythraceae,1,24,,3-4,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,🌧️,,,,,,,,,7,,,,
Cephalotus follicularis,Cephalotaceae,1,25,,1-2,,,,,,,,🌿,,,,,,,,,☀️,,,,,❄️,,,,,,,🌧️,,,🥵,,,,,,5,,,,
Hydnocarpus anthelminiticus,Flacourtiaceae,1,25,,4,,,,,,,,,,🌳,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,🟠,,6,,,,
Acalypha hispida,Euphorbiaceae,1,26,,2-11,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Acalypha pendula,Euphorbiaceae,1,26,,5-10,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Acalypha wilkesiana,Euphorbiaceae,1,26,,1-12,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,,,,,,,,,,,4,,,,
Acalypha wilkesiana cultivariates,Euphorbiaceae,1,27,,1-12,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Alchornea trewioides,Euphorbiaceae,1,28,,4-7,6-9,,,,,,,,🌴,,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Aleurites moluccana,Euphorbiaceae,1,28,,3-6,8-12,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,🟡,,,6,,,,
Antidesma bunius,Euphorbiaceae,1,29,,3-5,7-8,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Breynia fruticosa,Euphorbiaceae,1,30,,4-9,5-12,,,,,,,,🌴,,,,,,,,☀️,,,,🌡️,,,,😨,,🏜️,💧,,,,,,,,,,6,,,,
Breynia nivosa,Euphorbiaceae,1,31,,9-11,,,,,,,,,🌴,,,,,,,,,🌤️,,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,,,6,,,,
Breynia nivosa cv. 'Roseo-Picta',Euphorbiaceae,1,31,,4-5,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,6,,,,
Claoxylon indicum,Euphorbiaceae,1,32,,9,10-12,,,,,,,,🌴,🌳,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,,7,,,,
Codiaeum variegatum cultivariatas,Euphorbiaceae,1,32,35,5-11,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,😨,,🏜️,💧,,,,,,,,🟠,,7,,,,
Croton crassifolius,Euphorbiaceae,1,35,,11-2,,,,,,,,,🌴,,,,,,,,,,,,🌡️,,,,,,🏜️,💧,,,,,,,,,,4,,,,
Croton hancei,Euphorbiaceae,1,36,,6-11,,,,,,,,,🌴,🌳,,,,,,,,,☁️,,🌡️,,,,,,,,,,,,,,,🟠,,5,,,,
Croton laevigatus,Euphorbiaceae,1,36,,9-2,7-8,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Drypetes littoralis,Euphorbiaceae,1,37,,5,12-1,,,,,,,,,🌳,,,,,,,☀️,,,🔥,,,💨,,,,🏜️,,,,,,,,,,,5,,,,
Endospermum chinense,Euphorbiaceae,1,37,,5-8,8-11,,,,,,,,,🌳,,,,,,,☀️,🌤️,,🔥,,,,,,,,💧,,,,,,,,,,5,,,,
Euphorbia aeruginosa,Euphorbiaceae,1,38,,3-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia ammak 'Variegata',Euphorbiaceae,1,38,,2-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia anoplia,Euphorbiaceae,1,38,,7-8,7-8,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia antiquorum,Euphorbiaceae,1,39,,1-2,4-5,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia baioensis,Euphorbiaceae,1,39,,4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia beharensis var. guillemetii,Euphorbiaceae,1,39,,2-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia breviflava,Euphorbiaceae,1,40,,9,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia bupleurifolia,Euphorbiaceae,1,40,,10-2,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia candelabrum,Euphorbiaceae,1,40,,2-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia capsaintermariensis,Euphorbiaceae,1,41,,1-12,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia clavigera,Euphorbiaceae,1,41,,3-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia cooperi,Euphorbiaceae,1,41,,1-4,1-4,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia cotinifolia,Euphorbiaceae,1,42,,6-10,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,,,,,,,,,,,5,,,,
Euphorbia cyathophora,Euphorbiaceae,1,42,,1-12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,🟠,,5,,,,
Euphorbia cylindrifolia,Euphorbiaceae,1,43,,1-12,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia cylindrifolia var. tuberifera,Euphorbiaceae,1,43,,1-12,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia decaryi,Euphorbiaceae,1,43,,1-12,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia echinus,Euphorbiaceae,1,43,,,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia flanaganii,Euphorbiaceae,1,44,,3-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia francoisii,Euphorbiaceae,1,44,45,11-12,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia fruticosa,Euphorbiaceae,1,45,,7-8,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia geroldii,Euphorbiaceae,1,45,,1-12,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia globosa,Euphorbiaceae,1,46,,2-3,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia groenewaldii,Euphorbiaceae,1,46,,3-8,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia hedyotoides,Euphorbiaceae,1,46,,1-2,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia heterophylla,Euphorbiaceae,1,47,,6-12,,,,,,,,🌿,,,,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,,,,,,,,,🟠,,6,,,,
Euphorbia hirta,Euphorbiaceae,1,47,,3-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia horrida,Euphorbiaceae,1,47,,3-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia inermis,Euphorbiaceae,1,48,,3-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia knuthii,Euphorbiaceae,1,48,,4-8,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia lactea cultivarietas,Euphorbiaceae,1,49,,2-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia leucocephala,Euphorbiaceae,1,50,,10-12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia mammillaris,Euphorbiaceae,1,50,,3-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia marginata,Euphorbiaceae,1,51,,6-9,7-10,,,,,,,🌿,,,,,,,,,☀️,,,,🌡️,❄️,,,,,,,,,,,,,,,,4,,,,
Euphorbia meloformis,Euphorbiaceae,1,51,,10,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia milii,Euphorbiaceae,1,52,54,1-12,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,🌡️,,,,,,🏜️,,,,,,,,🟡,,,6,,,,
Euphorbia milii cultivarietas,Euphorbiaceae,1,52,54,1-12,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,🌡️,,,,,,🏜️,,,,,,,,🟡,,,6,,,,
Euphorbia moratii,Euphorbiaceae,1,55,,3-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia multifolia,Euphorbiaceae,1,55,,2-3,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia neriifolia,Euphorbiaceae,1,56,,2-3,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,🟠,,5,,,,
Euphorbia neriifolia var. cristata,Euphorbiaceae,1,56,,2-3,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,🟠,,5,,,,
Euphorbia obesa,Euphorbiaceae,1,57,,1,2-3,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia persistsens,Euphorbiaceae,1,57,,4-5,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia phosphorea,Euphorbiaceae,1,58,,9-10,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia piscidermis,Euphorbiaceae,1,58,,2-3,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia platyclada,Euphorbiaceae,1,58,,1-2,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia primulifolia,Euphorbiaceae,1,59,,1-2,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia pulcherrima,Euphorbiaceae,1,59,,11-3,,,,,,,,,🌴,,,,,,,,☀️,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,🟡,,,7,,,,
Euphorbia pulcherrima cultivarietas,Euphorbiaceae,1,60,,11-2,,,,,,,,,🌴,,,,,,,,,🌤️,,,🌡️,,,,,,,💧,,,,,,,,🟠,,5,,,,
Euphorbia saxorum,Euphorbiaceae,1,61,,3-5,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia sp.,Euphorbiaceae,1,61,,2-3,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia stellata,Euphorbiaceae,1,62,,4-5,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia stenoclada,Euphorbiaceae,1,62,,4-5,Summer,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia susannae,Euphorbiaceae,1,62,,11-3,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Euphorbia tirucalli,Euphorbiaceae,1,63,,,,,,,,,,,,,,,🌵,,,,☀️,🌤️,,🔥,,,,,,,🏜️,,,,,,,,,🟠,,6,,,,
Euphorbia trigona,Euphorbiaceae,1,63,,5-9,,,,,,,,,🌴,,,,🌵,,,,☀️,,,,🌡️,,,,,,🏜️,,,,,,,,,,,5,,,,
Euphorbia valida,Euphorbiaceae,1,64,,1-2,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,🥀,,,,🟡,🟠,,7,,,,
Euphorbia vigueri,Euphorbiaceae,1,64,,12-2,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Excoecaria cochinchinensis,Euphorbiaceae,1,65,,1-12,1-12,,,,,,,,🌴,,,,,,,,,🌤️,,🔥,🌡️,,,,,,,💧,,,,,,,,,🔴,6,,,,
Excoecaria cochinchinensis 'Variegata',Euphorbiaceae,1,65,,1-12,1-12,,,,,,,,🌴,,,,,,,,,🌤️,,🔥,,,,,,,,💧,,,,,,,,,🔴,5,,,,
Glochidion eriocarpum,Euphorbiaceae,1,66,,1-12,1-12,,,,,,,,🌴,,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Glochidion lanceolarium,Euphorbiaceae,1,66,,4-9,7-2,,,,,,,,🌴,🌳,,,,,,,,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Glochidion wrightii,Euphorbiaceae,1,67,,5-11,1,,,,,,,,,🌳,,,,,,,☀️,🌤️,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Glochidion zeylanicum,Euphorbiaceae,1,67,,4-6,7-9,,,,,,,,🌴,🌳,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,5,,,,
Jatropha berlandieri,Euphorbiaceae,1,68,,8,8,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Jatropha curcas,Euphorbiaceae,1,68,,"4-5,8-9","7-8,12-1",,🍂,,,,,,🌴,🌳,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,🔴,7,,,,
Jatropha gossypiifolia var. elegans,Euphorbiaceae,1,69,,3-11,5-11,,🍂,,,,,,🌴,,,,,,,,☀️,🌤️,☁️,🔥,🌡️,,,,,,🏜️,💧,,,,,,,,🟠,,10,,,,
Jatropha hastata,Euphorbiaceae,1,69,,1-12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,🟠,,6,,,,
Jatropha integerrima,Euphorbiaceae,1,70,,1-12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,🟠,,6,,,,
Jatropha integerrima cv. 'Rosea',Euphorbiaceae,1,70,,1-12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,🟠,,6,,,,
Jatropha integerrima 'Variegata',Euphorbiaceae,1,70,,1-12,,,,,,,,,,,,,,,,,☀️,,,🔥,🌡️,,,,,,,,,,,,,,,🟠,,4,,,,
Jatropha multifida,Euphorbiaceae,1,71,,1-12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,🏜️,,,,,,,,,🟠,,6,,,,
Jatropha pandurifolia,Euphorbiaceae,1,71,,1-12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,🟠,,6,,,,
Jatropha pandurifolia cv. 'Rosea',Euphorbiaceae,1,72,,1-12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,🟠,,6,,,,
Jatropha podagrica,Euphorbiaceae,1,72,,1-12,,,,,,,,,,,,,🌵,,,,☀️,,,,🌡️,,,,,,🏜️,,,,,,,,,🟠,,5,,,,
Macaranga tanarius,Euphorbiaceae,1,73,,3-5,6,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,💨,,,🧂,🏜️,,🌧️,,,,,,,,,8,,,,
Macaranga tanarius var. variegata,Euphorbiaceae,1,73,,3-5,6,,,,,,,,,🌳,,,,,,,☀️,,,🔥,🌡️,,💨,,,🧂,🏜️,,🌧️,,,,,,,,,8,,,,
Mallotus paniculatus,Euphorbiaceae,1,74,,10-11,,,,,,,,,,🌳,,,,,,,☀️,,,,🌡️,,,,,,,💧,,,,,,,,,,4,,,,
Mallotus philippensis,Euphorbiaceae,1,74,,3-5,5-8,,,,,,,,🌴,🌳,,,,,,,☀️,,,🔥,🌡️,,,,,,,💧,,,,,,,,🟠,,7,,,,
Manihot esculenta,Euphorbiaceae,1,75,,12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,😨,,,💧,,,,,,,,🟠,,6,,,,
Manihot esculenta 'Variegata',Euphorbiaceae,1,75,,12,,,,,,,,,🌴,,,,,,,,☀️,,,🔥,,,,,😨,,,💧,,,,,,,,🟠,,6,,,,
Monadenium eichlumatum,Euphorbiaceae,1,76,,2-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Monadenium lugardae,Euphorbiaceae,1,76,,1-12,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Monadenium mafingenes,Euphorbiaceae,1,76,,11,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Monadenium magnificum,Euphorbiaceae,1,77,,1-12,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Monadenium montanum var. rubellum,Euphorbiaceae,1,77,,4-9,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Monadenium ritchei,Euphorbiaceae,1,77,,1-12,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Pedilanthus bracteatus,Euphorbiaceae,1,78,,1-12,1-12,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Pedilanthus tithymaloides,Euphorbiaceae,1,78,,3-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Pedilanthus tithymaloides cultivarietas,Euphorbiaceae,1,79,,3-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Pedilanthus tithymaloides 'Variegata',Euphorbiaceae,1,80,,3-4,,,,,,,,,,,,,🌵,,,,☀️,,,🔥,,,,,,,🏜️,,,,,,,,,,,4,,,,
Phyllanthus emblica,Euphorbiaceae,1,80,,4-6,7-8,,,,,,,,🌴,,,,,,,,☀️,,,,🌡️,,,,,,🏜️,💧,,,,,,,,,,5,,,,
